Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
81,Globex,Influencer,25-34,27,Twitter,0.0609,43.15,93.12,Los Angeles,French,2940,53268,3.53,Youth,2021-01-04
82,Acme Corp,Email,35-44,26,Email,0.1481,26.31,100.94,Chicago,Spanish,3818,65311,1.15,Youth,2021-01-04
83,Hooli,Influencer,25-34,75,Google Ads,0.0764,95.7,43.05,San Diego,Spanish,1968,29721,9.54,Youth,2021-01-04
84,Globex,Influencer,45-54,7,Facebook,0.0881,56.14,78.52,Phoenix,English,4828,29525,5.11,Youth,2021-01-04
85,Umbrella,Email,18-24,33,Facebook,0.0942,58.09,0.0,Chicago,English,266,4124,0.89,Middle Aged,2021-01-04
86,Umbrella,Email,18-24,42,Instagram,0.124,106.73,17.04,San Diego,English,3726,48706,4.97,Senior,2021-01-04
87,Umbrella,Email,55+,39,YouTube,0.1142,101.64,71.02,Los Angeles,English,4992,35279,0.45,Senior,2021-01-04
88,Umbrella,Email,18-24,69,Email,0.1808,67.66,19.45,New York,German,1226,20506,0.55,Middle Aged,2021-01-04
89,Globex,Radio,35-44,20,Facebook,0.0147,57.6,0.0,San Diego,German,185,2035,3.18,Senior,2021-01-04
90,Acme Corp,TV,55+,38,Radio,0.01,119.16,0.0,New York,Spanish,3877,54865,6.77,Youth,2021-01-04
91,Globex,TV,18-24,17,Email,0.0499,32.74,35.81,Los Angeles,French,3897,39209,7.05,Middle Aged,2021-01-04
92,Umbrella,Email,55+,80,TV,0.1447,313.86,62.74,Phoenix,Spanish,3672,22656,9.01,Senior,2021-01-04
93,Initech,TV,18-24,71,Radio,0.0421,164.96,0.0,Houston,French,2814,34486,1.08,Middle Aged,2021-01-04
94,Umbrella,TV,18-24,55,Twitter,0.0683,65.46,0.0,Chicago,Spanish,2150,20156,4.64,Middle Aged,2021-01-04
95,Acme Corp,Email,45-54,40,Radio,0.187,156.45,82.7,San Diego,German,2971,18100,4.76,Senior,2021-01-04
96,Hooli,TV,18-24,67,Twitter,0.0417,59.87,59.57,Phoenix,German,3026,21394,4.61,Senior,2021-01-04
97,Hooli,Influencer,18-24,62,YouTube,0.128,85.49,141.24,Chicago,German,1147,16886,8.41,Middle Aged,2021-01-05
98,Umbrella,Social Media,35-44,45,Facebook,0.0724,87.95,41.0,New York,English,1943,11753,8.11,Middle Aged,2021-01-05
99,Acme Corp,Social Media,25-34,56,Radio,0.0952,163.26,0.0,Houston,French,3113,19578,5.08,Senior,2021-01-05
100,Globex,Email,35-44,36,TV,0.1059,335.81,98.01,Los Angeles,French,1341,26047,7.79,Middle Aged,2021-01-05
101,Acme Corp,Radio,55+,20,Instagram,0.0585,70.03,63.52,Los Angeles,Spanish,4691,28192,0.59,Senior,2021-01-05
102,Umbrella,Email,55+,41,Facebook,0.1585,57.53,52.62,New York,French,2830,29146,5.32,Middle Aged,2021-01-05
103,Globex,Radio,18-24,31,Email,0.0112,40.09,0.0,Los Angeles,German,3009,21222,0.95,Middle Aged,2021-01-05
104,Hooli,Social Media,18-24,59,Google Ads,0.1463,132.26,146.06,Houston,English,689,13603,8.67,Middle Aged,2021-01-05
105,Umbrella,Email,45-54,62,Twitter,0.1092,110.16,134.88,San Diego,German,4104,49966,5.03,Senior,2021-01-05
106,Hooli,Influencer,18-24,35,Email,0.1299,52.83,26.13,Houston,French,3273,19672,0.18,Youth,2021-01-05
107,Umbrella,TV,35-44,46,YouTube,0.0213,82.76,122.48,San Diego,German,129,2787,5.5,Senior,2021-01-05
108,Globex,Radio,35-44,71,Twitter,0.0573,47.22,52.87,Los Angeles,English,3954,63934,7.38,Middle Aged,2021-01-05
109,Acme Corp,TV,35-44,59,Instagram,0.11,78.35,181.93,Phoenix,German,823,15729,1.35,Youth,2021-01-05
110,Hooli,TV,35-44,70,Twitter,0.0733,74.59,0.0,Los Angeles,English,4348,66034,2.83,Youth,2021-01-05
111,Globex,Email,25-34,27,Google Ads,0.1465,134.25,47.82,Houston,French,4873,24388,4.48,Middle Aged,2021-01-05
112,Hooli,TV,35-44,87,Radio,0.0779,154.37,0.0,New York,French,2190,28509,4.15,Senior,2021-01-05
113,Initech,Influencer,35-44,20,TV,0.1023,285.6,42.2,Dallas,Spanish,1675,17249,5.03,Youth,2021-01-05
114,Globex,TV,55+,16,Radio,0.0647,123.84,74.55,Los Angeles,Spanish,2590,41769,0.16,Youth,2021-01-05
115,Globex,Email,55+,80,Facebook,0.1526,93.12,169.11,Phoenix,German,2298,30207,7.38,Senior,2021-01-05
116,Acme Corp,Influencer,55+,7,Google Ads,0.0835,108.99,6.68,Los Angeles,German,3661,55419,3.15,Senior,2021-01-05
117,Acme Corp,Social Media,18-24,18,TV,0.1313,290.64,83.99,Chicago,English,4145,29775,7.02,Youth,2021-01-05
118,Umbrella,TV,55+,85,Google Ads,0.0873,99.72,29.17,San Diego,Spanish,1226,14480,8.55,Senior,2021-01-05
119,Acme Corp,Email,18-24,21,Facebook,0.1243,48.92,98.4,San Diego,French,4064,45085,6.87,Youth,2021-01-05
120,Umbrella,Social Media,55+,48,Twitter,0.1108,102.9,49.3,Dallas,German,4021,77102,6.72,Middle Aged,2021-01-05
121,Acme Corp,Social Media,35-44,76,YouTube,0.0447,86.83,9.28,Los Angeles,German,1676,8472,5.79,Senior,2021-01-06
122,Acme Corp,Radio,55+,36,Facebook,0.0539,40.71,0.0,Houston,English,3379,57643,0.01,Youth,2021-01-06
123,Umbrella,Influencer,45-54,34,Facebook,0.1214,83.26,75.55,Dallas,English,1517,9221,9.04,Senior,2021-01-06
124,Initech,TV,18-24,37,TV,0.1004,297.03,123.97,Los Angeles,German,4303,26061,8.34,Senior,2021-01-06
125,Globex,Email,35-44,23,Instagram,0.16,52.54,17.15,Los Angeles,French,3505,32194,1.95,Youth,2021-01-06
126,Umbrella,Radio,35-44,56,Radio,0.01,172.82,51.19,New York,English,1631,25232,1.8,Middle Aged,2021-01-06
127,Initech,Influencer,35-44,57,Twitter,0.1506,83.25,79.87,Chicago,Spanish,4828,72536,0.37,Youth,2021-01-06
128,Acme Corp,Radio,55+,73,Facebook,0.0268,96.85,0.0,New York,English,1933,28018,3.8,Senior,2021-01-06
129,Umbrella,Influencer,18-24,55,YouTube,0.1054,105.36,35.96,Houston,German,4792,77185,9.85,Youth,2021-01-06
130,Initech,Influencer,35-44,34,Email,0.1209,23.93,47.12,San Diego,French,4621,37246,0.97,Senior,2021-01-06
131,Initech,TV,35-44,87,Twitter,0.0328,68.76,38.67,Phoenix,English,3749,53335,5.65,Youth,2021-01-06
132,Globex,Influencer,55+,20,Instagram,0.1738,80.38,114.81,New York,German,3753,53246,2.65,Middle Aged,2021-01-06
133,Acme Corp,Radio,35-44,86,Google Ads,0.0642,107.0,39.06,San Diego,Spanish,854,12909,8.62,Middle Aged,2021-01-06
134,Hooli,Influencer,35-44,9,Facebook,0.0857,112.73,77.7,Dallas,English,3901,51107,5.07,Middle Aged,2021-01-06
135,Initech,TV,25-34,75,YouTube,0.0282,80.17,0.0,San Diego,German,3550,28756,8.54,Middle Aged,2021-01-06
136,Umbrella,TV,55+,76,Twitter,0.0107,60.74,0.0,Houston,German,2631,48250,9.3,Youth,2021-01-06
137,Acme Corp,Radio,25-34,74,YouTube,0.069,100.75,27.21,Chicago,Spanish,4274,82137,6.34,Middle Aged,2021-01-06
138,Hooli,Social Media,25-34,73,YouTube,0.078,107.88,97.5,Los Angeles,French,1365,20827,2.83,Youth,2021-01-06
139,Hooli,Social Media,55+,66,Radio,0.0507,183.85,0.0,New York,English,375,4699,4.48,Senior,2021-01-06
140,Hooli,Influencer,35-44,74,TV,0.1672,296.73,113.7,Los Angeles,Spanish,2141,27868,6.31,Senior,2021-01-06
141,Initech,Email,35-44,50,Google Ads,0.1651,125.82,157.8,Chicago,French,4012,25024,6.51,Senior,2021-01-06
142,Globex,Influencer,18-24,80,Instagram,0.1256,65.91,69.16,Phoenix,English,277,3241,0.67,Middle Aged,2021-01-06
143,Hooli,Radio,18-24,61,Radio,0.0442,161.51,188.02,Los Angeles,English,770,15486,3.51,Middle Aged,2021-01-06
144,Hooli,Radio,55+,75,Twitter,0.01,108.71,0.0,Dallas,English,911,12121,5.32,Middle Aged,2021-01-06
145,Umbrella,Radio,45-54,84,Facebook,0.0568,71.45,21.53,Phoenix,German,3147,41348,3.36,Senior,2021-01-07
146,Hooli,Radio,25-34,40,Instagram,0.0274,106.06,0.0,Chicago,French,1666,32228,5.78,Senior,2021-01-07
147,Acme Corp,Radio,55+,8,Facebook,0.0661,51.79,21.97,Chicago,German,3135,57155,1.76,Senior,2021-01-07
148,Globex,TV,35-44,85,Email,0.0692,43.1,65.89,Phoenix,French,430,5622,0.35,Senior,2021-01-07
149,Globex,Social Media,25-34,40,YouTube,0.0782,94.1,20.8,New York,English,3655,33581,3.41,Youth,2021-01-07
150,Hooli,Radio,18-24,10,Email,0.036,57.04,0.0,Chicago,Spanish,3687,22652,5.68,Youth,2021-01-07
151,Initech,Email,25-34,18,TV,0.1998,297.21,20.32,Chicago,Spanish,2005,35014,0.11,Middle Aged,2021-01-07
152,Initech,Email,18-24,19,YouTube,0.1099,122.58,47.18,Phoenix,German,273,5704,6.12,Middle Aged,2021-01-07
153,Hooli,Email,55+,79,Google Ads,0.1328,109.73,65.42,Los Angeles,French,1945,23449,3.55,Senior,2021-01-07
154,Hooli,Email,18-24,10,Instagram,0.1841,104.62,76.87,Phoenix,English,191,1619,9.93,Youth,2021-01-07
155,Initech,TV,55+,37,Facebook,0.0946,83.23,158.48,Houston,English,2657,37795,7.83,Youth,2021-01-07
156,Hooli,Email,55+,50,Radio,0.1459,128.43,105.39,Los Angeles,Spanish,2748,27930,2.91,Middle Aged,2021-01-07
157,Umbrella,Radio,35-44,62,TV,0.019,255.43,0.0,Los Angeles,English,698,4889,9.71,Youth,2021-01-07
158,Umbrella,Influencer,45-54,12,Google Ads,0.0996,122.93,85.38,Chicago,French,4609,83058,2.78,Middle Aged,2021-01-07
159,Hooli,Email,45-54,77,Facebook,0.107,66.31,94.6,San Diego,German,2284,18730,1.08,Senior,2021-01-07
160,Initech,TV,45-54,68,Instagram,0.1101,95.51,54.77,Los Angeles,French,2825,42458,0.27,Senior,2021-01-07
161,Umbrella,TV,55+,88,Twitter,0.0456,44.79,2.22,New York,Spanish,4284,47877,7.83,Middle Aged,2021-01-07
162,Initech,Email,55+,28,TV,0.1639,310.67,33.14,New York,English,1166,19949,3.19,Senior,2021-01-07
163,Hooli,Influencer,35-44,84,Email,0.1343,81.37,135.75,New York,German,443,6740,9.84,Senior,2021-01-07
164,Hooli,Email,35-44,18,Email,0.1945,45.21,89.21,Houston,English,2443,15350,6.18,Youth,2021-01-07
165,Hooli,TV,18-24,54,Radio,0.0374,110.08,9.19,Chicago,French,4536,50007,1.64,Youth,2021-01-07
166,Umbrella,Social Media,18-24,52,Facebook,0.0695,78.89,90.48,Dallas,Spanish,2778,23134,3.36,Youth,2021-01-07
167,Globex,Radio,55+,78,Facebook,0.0649,65.75,34.13,Dallas,French,1441,22087,5.12,Youth,2021-01-07
168,Globex,TV,45-54,31,Facebook,0.01,61.05,128.01,Phoenix,Spanish,134,2374,7.22,Youth,2021-01-07
169,Globex,Email,25-34,48,TV,0.1947,295.81,71.06,Houston,German,4366,43932,5.91,Middle Aged,2021-01-08
170,Umbrella,Radio,35-44,81,Instagram,0.0921,109.93,27.52,Houston,Spanish,3694,34163,2.6,Middle Aged,2021-01-08
171,Initech,Email,25-34,61,Twitter,0.1574,58.46,43.56,New York,Spanish,4581,27903,4.76,Youth,2021-01-08
172,Globex,Email,25-34,31,Email,0.1219,63.95,19.41,Los Angeles,French,4530,36656,2.16,Senior,2021-01-08
173,Globex,Social Media,55+,86,Google Ads,0.1056,115.69,73.08,Phoenix,Spanish,4274,64646,3.5,Senior,2021-01-08
174,Acme Corp,Radio,18-24,87,YouTube,0.0343,98.19,52.57,Chicago,French,4688,66157,2.86,Middle Aged,2021-01-08
175,Hooli,Radio,45-54,60,TV,0.0443,321.84,3.05,Los Angeles,English,4350,43609,8.99,Middle Aged,2021-01-08
176,Globex,Social Media,25-34,74,TV,0.0866,294.41,45.36,San Diego,German,3956,67557,7.88,Middle Aged,2021-01-08
177,Globex,TV,35-44,32,Instagram,0.0302,105.32,25.69,San Diego,Spanish,2213,26585,5.32,Senior,2021-01-08
178,Initech,Email,35-44,12,Email,0.1604,45.45,144.88,San Diego,French,1867,30341,1.74,Middle Aged,2021-01-08
179,Hooli,Influencer,35-44,58,Radio,0.0761,161.19,7.78,Los Angeles,English,1488,23829,5.94,Senior,2021-01-08
180,Umbrella,Email,25-34,70,Twitter,0.0841,64.69,50.94,Houston,French,299,5421,3.55,Middle Aged,2021-01-08
181,Umbrella,Email,18-24,64,Instagram,0.1609,93.42,102.07,Houston,German,611,11000,0.37,Senior,2021-01-08
182,Acme Corp,TV,45-54,63,Google Ads,0.0813,125.14,61.14,New York,French,2832,43251,6.89,Middle Aged,2021-01-08
183,Initech,Email,25-34,78,Email,0.1346,63.51,71.04,San Diego,French,2842,45543,2.56,Middle Aged,2021-01-08
184,Initech,Social Media,18-24,74,Instagram,0.0629,99.6,82.6,Chicago,French,1163,19420,2.34,Senior,2021-01-08
185,Hooli,Social Media,45-54,81,Email,0.0994,33.11,14.98,Chicago,Spanish,2871,20212,6.64,Middle Aged,2021-01-08
186,Initech,Radio,45-54,40,Email,0.0394,86.4,11.07,Houston,German,2979,27066,8.71,Youth,2021-01-08
187,Acme Corp,Influencer,45-54,8,Radio,0.103,150.52,21.98,San Diego,English,3570,21906,2.82,Senior,2021-01-08
188,Hooli,Email,45-54,89,TV,0.1592,318.31,46.64,Houston,Spanish,2573,18852,7.78,Middle Aged,2021-01-08
189,Initech,Email,45-54,45,Twitter,0.1502,22.2,80.92,New York,Spanish,2268,36401,8.86,Senior,2021-01-08
190,Initech,TV,18-24,73,TV,0.0125,316.07,55.9,Los Angeles,Spanish,2563,49236,2.11,Middle Aged,2021-01-08
191,Globex,Social Media,45-54,79,YouTube,0.0767,115.31,0.0,Phoenix,Spanish,4481,67908,9.17,Youth,2021-01-08
192,Globex,Influencer,25-34,82,Twitter,0.1255,74.68,108.74,San Diego,German,3109,56147,2.83,Middle Aged,2021-01-08
193,Acme Corp,Radio,18-24,18,Email,0.024,4.87,0.0,New York,Spanish,504,5388,2.18,Middle Aged,2021-01-09
194,Globex,Social Media,45-54,79,Instagram,0.1078,75.56,6.01,Chicago,English,4683,80443,3.61,Youth,2021-01-09
195,Initech,Radio,18-24,45,Google Ads,0.0545,99.53,0.0,Chicago,Spanish,1223,12992,2.28,Senior,2021-01-09
196,Globex,TV,18-24,38,Radio,0.0417,173.26,68.73,Los Angeles,English,2892,52988,5.73,Middle Aged,2021-01-09
197,Initech,TV,35-44,75,Twitter,0.054,45.93,0.0,Los Angeles,English,1125,18181,4.73,Middle Aged,2021-01-09
198,Hooli,Email,18-24,78,YouTube,0.1387,111.08,169.66,San Diego,French,1632,31361,6.7,Youth,2021-01-09
199,Globex,Influencer,35-44,38,Email,0.1133,44.21,63.59,Dallas,German,627,11565,7.24,Senior,2021-01-09
200,Acme Corp,Radio,55+,28,Google Ads,0.0344,141.66,0.0,San Diego,Spanish,2880,28943,0.82,Senior,2021-01-09
201,Umbrella,Social Media,35-44,57,Twitter,0.0269,74.58,0.0,Phoenix,German,3434,21090,1.54,Youth,2021-01-09
202,Initech,TV,55+,47,TV,0.0508,287.09,66.6,Chicago,Spanish,2546,46033,7.9,Youth,2021-01-09
203,Acme Corp,Email,55+,56,TV,0.1596,284.51,6.86,Houston,English,346,4749,0.66,Middle Aged,2021-01-09
204,Initech,Email,55+,23,Twitter,0.2238,61.17,144.99,Houston,English,2088,35944,6.59,Youth,2021-01-09
205,Initech,Radio,35-44,51,Twitter,0.0532,8.16,0.0,New York,German,727,8132,6.64,Youth,2021-01-09
206,Hooli,TV,18-24,65,Twitter,0.0304,105.41,33.53,San Diego,German,2216,11251,7.37,Youth,2021-01-09
207,Initech,Influencer,45-54,50,Google Ads,0.0708,146.28,101.25,Houston,Spanish,4592,23642,2.19,Senior,2021-01-09
208,Umbrella,TV,55+,38,TV,0.0183,301.36,28.09,Dallas,German,707,10845,1.51,Youth,2021-01-09
209,Umbrella,Radio,45-54,54,Instagram,0.025,108.79,55.12,Phoenix,German,2293,14729,4.5,Middle Aged,2021-01-09
210,Umbrella,Radio,18-24,36,YouTube,0.0256,99.27,49.12,Phoenix,German,2533,41450,0.43,Middle Aged,2021-01-09
211,Acme Corp,TV,55+,34,YouTube,0.0429,108.73,0.0,Dallas,Spanish,397,4703,8.42,Middle Aged,2021-01-09
212,Hooli,Radio,55+,89,Radio,0.0279,169.74,0.0,Chicago,English,3672,48489,7.47,Youth,2021-01-09
213,Acme Corp,TV,55+,24,Email,0.0431,45.23,0.0,Houston,Spanish,3393,57760,8.85,Senior,2021-01-09
214,Acme Corp,Social Media,55+,26,Facebook,0.0673,95.48,49.14,Los Angeles,English,1644,13920,0.7,Youth,2021-01-09
215,Umbrella,TV,35-44,80,Instagram,0.0506,54.07,20.27,Chicago,Spanish,1582,17648,9.21,Youth,2021-01-09
